<<<<<<< HEAD
1.003268733423139452e+02 5.262218769385745532e+01 9.061523487376764052e+00
7.322695584066511287e+01 2.948384667351135136e+01 5.416884163710892608e+01
1.713135908014799327e+02 5.991149966460829290e+01 4.138848539625122669e+01
1.028721832585833624e+02 6.205152474616872382e+01 4.639618412437349804e+01
1.750483800211612220e+02 6.163201012524627487e+00 6.554977104249188002e+00
1.766845421432989554e+02 5.202179080093291219e+01 3.289439952731427752e+01
1.872065531755467021e+02 -2.305887948425943534e+01 -5.496664873590908940e+01
1.220666864842142303e+02 7.886558682139225596e+01 2.804048253962726278e+01
1.570107632618892808e+02 3.250850605932008364e+01 6.103749706701012201e+01
1.719560589152687839e+02 1.835392226414672479e+01 2.526806169130320967e+01
6.850337461388542692e+01 1.434682264401491025e+01 4.721124534815452023e+01
1.777937927039137662e+02 -1.971863855663968934e+01 -5.669772271505352990e+01
1.193174521344118375e+02 6.988523789080267079e+01 2.605308179118274126e+01
1.009434933455334686e+02 6.244597918494790179e+01 5.075392132404756040e+01
6.694538947691586372e+01 2.558099194845332036e+01 4.653998393106843423e+01
1.386084364262293036e+02 1.350139158920971383e+01 9.207654118699263535e+00
1.152859268660825904e+02 7.402330511374952948e+01 2.578161867576653776e+01
1.247052138074615755e+02 3.978750792781511336e+01 4.803086690978420847e+01
6.738502906435425643e+01 2.468223908707567915e+01 4.585101726229102326e+01
1.672611474532966440e+02 -5.208586296866283050e+00 1.850434133306287521e+01
1.563219326250117547e+02 -6.588876909233657386e+01 -1.476066989724353640e+01
1.963783582508295069e+02 -1.887664981922059582e+01 1.369678959890016046e+01
1.172194412830048833e+02 4.179888081431043645e+01 1.464572054870383866e+01
1.177755980870513497e+02 2.523538792136823616e+01 4.689421165167378547e+01
1.549330345365846711e+02 2.147088431708211331e+01 5.490220814427900109e+01
6.677394118630458308e+01 2.369184929974466769e+01 4.665950821089662526e+01
1.120601942201467693e+02 2.449524939038381177e+01 5.236240628802605812e+01
1.168258895778209876e+02 8.203854630115129964e+01 2.942658966302372647e+01
1.489546082656922863e+02 -5.430754367425726770e+01 2.203221812009225289e+00
1.760746877490532825e+02 -5.072619984268680327e-01 -1.765059081429022925e+01
1.354015869044881697e+02 2.570369195341064739e+01 5.585407946650363442e+01
1.049931156337565028e+02 5.137320708726255702e+01 6.975291969062137554e+00
1.379872441159859022e+02 7.768991237818086404e+01 -1.254750374251305445e+01
6.810896665335043565e+01 2.448191454306395443e+01 4.936335699558576096e+01
1.446512751270362855e+02 -7.025143460922755878e+01 -2.145309954776095651e+00
1.765677326585915239e+02 -8.197808307395884952e+00 -4.359320864939058993e+01
1.728920828807673331e+02 -1.844206800957894643e+01 -5.973371043914927014e+01
1.915351407805088400e+02 -3.611536423795675432e+01 -4.146540291816747725e+01
7.515456150752009989e+01 1.896137034003615085e+01 5.094453123220740309e+01
1.763557052386742896e+02 2.910225340659439297e+01 3.828769669128339359e+01
1.747420388482420890e+02 9.834019718760508511e+00 -3.104035799632081449e+01
1.765725142251199031e+02 1.548130523326349994e+01 -1.889350180820478542e+01
1.547330034957218459e+02 -2.646383271532798176e+01 2.233297204144493264e+01
7.293371893665178618e+01 2.783969945325616635e+01 5.302812704514155939e+01
1.715798967855679962e+02 5.831042557923438352e+01 4.067758651800739500e+01
