<<<<<<< HEAD
1.713082539097655399e+02 5.589153776268741325e+01 2.194927539464789845e+01
9.554569709098301189e+01 2.853957470677601194e+01 5.627770256801319704e+01
6.912789788379294009e+01 3.091927014169642973e+01 5.152039387932295966e+01
1.642649129274728352e+02 -4.935041727861973015e+01 -4.462590430225384708e+00
1.436203419461195949e+02 3.923036804734906724e+01 6.232624818064836347e+01
1.740012178725365857e+02 2.462558013672184742e-01 3.863522856070005673e+00
7.750090103275348952e+01 2.877502071005932649e+01 5.763439127591813360e+01
1.372023847962040861e+02 8.118699175910025190e+01 -1.422120161233833358e+01
1.222312223167834873e+02 7.537941918982892275e+01 2.767118177422495506e+01
1.768035786515095253e+02 -2.025507269601917315e+01 -5.975366253189893939e+01
1.216520548718752650e+02 1.019225006926775450e+02 -2.501553863157479185e+00
1.881198135755594194e+02 -3.590554193093026925e+01 -3.639809853388929639e+01
1.523905073201627829e+02 -5.891533724171588915e+01 -1.529365481856262932e+01
1.513902516525265867e+02 -3.146195135501266904e+01 -1.520295119665972194e+00
1.519770537221341158e+02 -3.289119861426699742e+01 -3.897182129160490227e+00
6.874892882764959268e+01 1.530734484793854122e+01 4.581770082637649466e+01
1.756853243883874427e+02 2.839965873629502724e+01 3.268039395077691012e+01
1.403078872228561238e+02 7.671452319687260513e+01 -1.050077472838251325e+01
1.622161249475863940e+02 -6.557774303058694443e+01 -1.186838227681375457e+01
1.841248316287224611e+02 -3.654796413024842394e+01 -3.915475497429348906e+01
6.810381740426802821e+01 2.121486242715931070e+01 4.983203686967871704e+01
6.827316160002388301e+01 2.420727601680251340e+01 4.650421014363345762e+01
1.671673819012805779e+02 2.809349196026498774e+01 5.464687111648439100e+01
7.028045442813626664e+01 2.658221744981114654e+01 5.558990289113094008e+01
1.498412860061999083e+02 -7.291486420162641480e+01 -6.739966436714608378e+00
1.568232860708992860e+02 -3.846703154452444373e+00 3.385268047634689026e+00
1.348263394179800514e+02 3.055378072528960587e+01 5.797396081658227729e+01
1.368069023737809573e+02 7.966349653674821241e+01 -1.454252553924691149e+01
1.573422054772763374e+02 -6.220910520028683521e+01 -1.771114927439554521e+01
1.585154007578109088e+02 2.720960277778628722e+01 5.887163926605559539e+01
9.335749817276833085e+01 2.642485191569952363e+01 5.352495961919896672e+01
1.906894977867581531e+02 -1.193003109201082879e+01 -3.095247518269855647e+01
1.022124772618219595e+02 5.317673137836939645e+01 8.211111842075201395e+00
1.163349943594769940e+02 7.378292226073256188e+01 2.922873296037120383e+01
1.312477585820704462e+02 6.168959348906975038e+01 1.962576096750006727e+01
1.126689698557264450e+02 6.162203668696889025e+01 1.842995821547028612e+01
1.534148485333560359e+02 5.417571541286613979e+01 6.115626762995110255e+01
1.732951612869711937e+02 -2.268930584195182476e+01 -6.246769286063585014e+01
6.764748627766226718e+01 2.258486466841082319e+01 5.086832077009860598e+01
1.547998232823086084e+02 -2.938697458557776798e+01 1.797119938026131081e+01
1.461449960394186576e+02 -5.248578528440641833e+01 -1.355998868560145176e+00
1.483550395986203227e+02 -5.228466729555965742e+01 4.368642470625962559e+00
9.699097119941102108e+01 4.967888697315358115e+01 1.103851825179447133e+01
9.311239267242281414e+01 1.393620485760432537e+01 6.303713742826398914e+01
8.162470339981032907e+01 2.991663775941088232e+01 6.320021705381054744e+01
1.314492942067828665e+02 1.017654288792739976e+02 -7.152705629632129636e+00
1.598715919898877189e+02 3.939269850576758358e+01 5.964307747692139117e+00
9.834815543106697078e+01 5.235014936961020737e+01 8.890400529262091567e+00
8.868797577585594638e+01 1.899148782649409384e+01 5.127956869806379814e+01
1.129971294031002742e+02 4.997303216964054684e+01 1.064100970261307566e+01
1.182922106073412465e+02 4.262525982469455954e+01 3.992856811569301101e+01
1.240420945314095462e+02 4.202665726502365828e+01 3.677035276072170689e+01
1.540053668825511579e+02 1.662282526888009926e+01 5.069891130353744302e+01
1.485581077944581239e+02 3.025656915188240959e+01 3.178471894321235780e+00
1.622961332843709101e+02 3.621847394750004412e+01 6.410734757093273117e+00
1.838639044843069428e+02 -1.959426550289467883e+01 -5.961296145497329491e+01
1.929558974927956285e+02 -2.866305800228499834e+01 -3.689077233646923304e+01
1.074911929959599206e+02 5.494126205327781065e+01 2.602801143218295010e+01
1.711793628094111170e+02 7.942701998517699202e+00 -3.766056552753092745e+01
1.793543162398920288e+02 1.365715011294294357e+01 -2.173787539407683767e+01
1.057745066492437758e+02 4.820582742293890277e+01 8.555550455180544134e+00
1.929308160249879904e+02 -3.008538203050184734e+01 -3.987562290869306736e+01
1.775918089716394377e+02 -6.585870382015902358e+00 -4.319467893894444188e+01
1.720785336355132245e+02 -3.074697187527750941e+01 -5.065344246852551180e+01
1.363005691335939957e+02 5.821296799815936396e+01 1.935758823643776338e+01
1.742681387570222569e+02 1.543187572806535002e+01 2.416301572111075302e+01
1.499905906065931447e+02 1.433596390734964032e+01 4.813207423738628421e+01
1.474149083250931085e+02 6.188800576171937351e+00 2.885735888889320222e+01
1.063303763833061026e+02 6.045494978414352971e+01 5.345658704403141570e+01
1.627178633231230833e+02 3.134263298610254544e+00 -3.529558363456130365e+01
1.851608384924234372e+02 -1.962819197274109229e+01 -5.917691738838500726e+01
1.616372148216610753e+02 -2.168149115085727985e+01 1.168424545399146552e+01
1.603057920939686767e+02 -2.340940683707090031e+01 1.058510962306812431e+01
1.811686558084873298e+02 3.737200197220227338e-01 -2.970073329910324844e+01
1.747425554749314074e+02 2.016405906385267599e+01 -6.956376008293818636e+00
1.749859751755734578e+02 -1.902018525549262407e+01 -5.094219178929831315e+01
1.067665586528890742e+02 4.377411149508987620e+01 2.185287554442193780e+01
1.433318076220234900e+02 8.783509230175464211e+01 1.672252888696426965e+00
1.769835992194798564e+02 4.610990446999422687e+01 2.581755768918200999e+01
1.599071655475863167e+02 -6.234696234183528674e+01 -1.746169121293265292e+01
6.999972518731058813e+01 3.172049356796345876e+01 5.018963127290304271e+01
1.368737927423317444e+02 -2.759891389249204607e+01 6.689640915288061152e+00
1.777603769581627091e+02 -2.496871027798954401e+01 -3.557775887343754562e+01
1.389769447537560154e+02 5.048975547261193952e+01 6.788905725949051728e+00
1.036577588926109001e+02 1.252898644643313730e+01 6.703201166214449813e+01
1.759841431833506249e+02 1.057107894803213455e+01 1.146799974006501088e+01
1.499677839148331486e+02 -3.693879378918693135e+01 1.309868878898552325e+01
1.537019947367148802e+02 1.890975102563400867e+01 5.304491136936574947e+01
1.759180474368190232e+02 -3.260170989860131385e+01 -4.910978062169241554e+01
1.434404945528249300e+02 3.151129403742190505e+01 2.746830234864443554e+00
7.000781753191932921e+01 1.987041217031613627e+01 5.081954258268419977e+01
1.694891284624643220e+02 8.732995681621373407e+00 -3.735213670860348145e+01
1.886099294869541723e+02 -2.532354770610938388e+01 -5.171036046534338482e+01
1.355623391270790989e+02 -2.797980800038410010e+01 9.475567288499259888e+00
1.610603918621602588e+02 2.217556157915061554e+00 -1.059821930431381176e+01
1.332338387175597632e+02 1.009509791833527146e+02 -1.558151111512805542e+01
1.432166152204430034e+02 3.361798696297340960e+00 7.342553794964205238e+00
7.625129354204719334e+01 3.400539076118293025e+01 5.931477934795924511e+01
1.699367012846936973e+02 -1.640968372552388743e+01 -3.070846794337792574e+01
1.367544338156660331e+02 9.722307981866165960e+01 -1.718836643792750607e+01
1.773940554269412928e+02 -3.960042310717104996e+00 -4.221385634551562305e+01
1.708793574415767011e+02 6.080274596490031769e+01 3.898057484838994213e+01
1.506489295323713122e+02 -7.451332091972084015e+01 -4.624423160458990267e+00
1.797342495971762446e+02 3.524787635366408978e+01 3.339582707234476544e+01
1.147101187802966535e+02 8.839463295787760799e+00 5.010322490144866947e+01
1.093897398633007896e+02 6.307626198897732195e+01 4.069076530176013051e+01
1.355253571985388419e+02 2.832209885734713950e+01 5.613804692465173218e+01
7.867953374702864267e+01 3.131043323541018708e+01 5.828553287405638628e+01
1.724988026413438149e+02 1.406082984999954633e+01 -3.179151761853151470e+01
1.794140197109682333e+02 -1.892696719265973826e+01 -6.499436146630193889e+01
7.517779785816318849e+01 2.710877227182556126e+01 5.992539543693082749e+01
1.679928683517185846e+02 2.408558971430372608e+01 -6.995780857862095026e+00
7.590828479242782123e+01 3.602623985316756716e+01 6.030875951646638100e+01
1.819407148996839680e+02 -2.967674186206389564e+00 -2.551948027137112263e+01
8.031633734958475657e+01 1.169165251231930824e+01 5.099801425724634640e+01
6.875464824946894282e+01 2.966602291498118404e+01 5.313056310237207924e+01
1.770258265992889903e+02 1.613159540064853914e+01 -5.081220389846404117e+00
7.412559845858982044e+01 2.188717107863813283e+01 5.843705851438295440e+01
7.094248358819754685e+01 1.504432219017307659e+01 4.663019951461835433e+01
7.061276791360121763e+01 1.427115670493994237e+01 4.817016555821481916e+01
1.679246352105106723e+02 -1.059471031787199280e+01 -3.627018191432383531e+01
1.192011233502864513e+02 7.519638491101001421e+01 2.804029516184068882e+01
1.818450429260124110e+02 -1.784630665495662072e+01 -5.742965448069904255e+01
1.543105801921360865e+02 -3.043575513298878832e+01 2.021113509929518415e+01
1.352201999873636282e+02 1.972956932017470422e+01 1.434440357123105159e+01
1.762079976283809231e+02 1.244869611270832088e+01 9.490940962297980121e+00
1.206878977788690150e+02 1.025125821868631846e+02 -1.015248020922111527e+00
1.604155015782400540e+02 5.825684988904891526e+01 5.309328418357365820e+01
1.232607740194224846e+02 2.303572407207537154e+01 5.899000984215464882e+01
1.243898267359502086e+02 4.376511110559332707e+01 4.666929701046455392e+01
1.390175201999982164e+02 -7.141190669332128493e+01 -1.103167133278420309e+01
7.060596526563276143e+01 1.678350993713010553e+01 4.864951433492082344e+01
7.073593119502997695e+01 2.161171386501051472e+01 4.934437871532983877e+01
1.590542477356923712e+02 -5.096214355219672854e+01 6.672563519437981761e+00
1.451707275367381271e+02 9.370319676525301134e+01 -5.751709588565720566e+00
6.938336002012918868e+01 2.227212315384629449e+01 5.289870688494471551e+01
7.201941804859482943e+01 1.510295304713380915e+01 5.205526980400583170e+01
1.590984290625403332e+02 -2.116374727548616974e+01 7.139261831678789250e+00
7.054552882994775587e+01 2.377900264108627937e+01 5.088871324394769147e+01
1.317090043054815283e+02 2.024072060111527804e+01 1.621988646813399981e+01
1.749677691227096830e+02 -2.893564817267687417e+01 -5.376948663965440289e+01
1.766770593688523263e+02 1.469136752508429211e+01 1.131406760380288645e+01
1.439187993896574653e+02 -1.846174140028181654e+01 3.977643301271776011e+00
1.791295113516196693e+02 -1.981722429748466396e+01 -6.075813394872216122e+01
1.682980719581393316e+02 2.926622338262083289e+01 5.427877883826453598e+01
1.612721455405105928e+02 -2.386519604660537652e+01 8.155362482878034669e+00
1.188225362180297537e+02 4.385875398810414794e+01 3.240028146940192499e+01
1.304507720635178600e+02 3.050852052389350888e+01 5.355437804762559750e+01
9.828786372580401576e+01 4.984606856549398657e+01 1.206130969795084340e+01
8.539018879579731447e+01 2.645855597807923942e+01 5.593779833602312124e+01
7.096213459624388520e+01 3.037570952895439547e+01 5.202026985900986489e+01
1.261642016521097247e+02 7.715291929332659038e+01 2.734537369741974899e+01
1.578529532188098585e+02 2.998580118809620032e+01 5.994136918437801853e+01
1.559588481310546513e+02 2.852179967463259302e+01 6.011677077376955936e+01
1.762383151984940923e+02 3.002172635317678484e+01 2.046455493486521959e+01
6.957870445233589862e+01 2.842307610636846249e+01 5.443455219036543724e+01
1.789545070280065886e+02 -7.104598042954915371e+00 1.126642273541385286e+01
2.002679692606002959e+02 -1.753822890837308535e+01 1.310339481229613412e+01
1.159858809586248185e+02 4.831345945700076072e+01 4.059562324430643798e+01
1.496001286215249308e+02 9.168002914562713102e+01 -3.758506989461542602e+00
9.705981592251734469e+01 4.987277858151646370e+01 1.209087120194057263e+01
1.338311267137275706e+02 1.014110999405447870e+02 -1.855550152509410466e+00
1.317761452950437331e+02 1.006323970421037899e+02 -1.283351250499013041e+01
7.054577484161632128e+01 3.167454303448984376e+01 5.083276665288056506e+01
7.367330099266675347e+01 1.472713676380758940e+01 4.792764809371296764e+01
1.771586491409656503e+02 -1.227761448526347943e+00 -4.074192301910802883e+01
7.035445792136864895e+01 3.140307687286274074e+01 5.373780011902061204e+01
6.996436522958079252e+01 1.532581770942795885e+01 5.004882212072831749e+01
1.152195464040935349e+02 7.754377352701796156e+01 2.759286633628616769e+01
1.618914198048055368e+02 1.942548489942334644e+00 2.905796104864896279e+01
7.113407131163978647e+01 2.849485629542301268e+01 5.184665499115026677e+01
1.177762298084308554e+02 8.382096172325888972e+01 3.035129947586600707e+01
1.723085692210314903e+02 2.491910864296913530e+01 4.550547226667503509e+01
1.523641511712029910e+02 -5.793624619634116613e+01 -1.282095515525247187e+01
1.810312165578325789e+02 -3.026099007431892929e+01 -3.809173221779612106e+01
1.347504696817833860e+02 -6.829119477316294251e+01 -1.629832104182616348e+01
1.431433982446103244e+02 2.690270603798336424e+01 5.933948409012853631e+01
1.410515459692962850e+02 9.885206381682330345e+01 -3.453515204844475051e+00
1.741334793030529795e+02 -2.076433004111408742e+00 3.709686489153391165e+00
1.382906983624183113e+02 2.513354913186971018e+01 5.615033941580142596e+01
1.110018355690233989e+02 4.349401062752109937e+01 2.886367577633726711e+01
1.806939211925992765e+02 -4.564436637326654278e-01 -2.729123111907134813e+01
1.703894828761732470e+02 -2.450328767231296112e+01 -4.883888026807937166e+01
1.186435100192773859e+02 7.958026453794428789e+01 3.213368424920624733e+01
1.427655795074784635e+02 7.698927888842823108e+01 2.656846526089939431e+00
1.758994345730677367e+02 1.304910855452992280e+01 -3.156343458005239810e+01
1.324855310329440954e+02 2.138599255516321662e+01 5.810460556424422407e+01
9.575098944112998822e+01 2.579955776784904131e+01 5.332495468503717717e+01
7.037353999272906435e+01 3.019164878333472046e+01 5.517489945028576415e+01
1.247968653526009035e+02 1.003573204987261818e+02 -3.395293414378478758e+00
1.202648117764533424e+02 1.296473104059896109e+01 4.167809147792081603e+01
1.768792534480034533e+02 1.202906628195089311e+00 -3.882527268315934066e+01
7.084961937199625481e+01 2.696844803570921911e+01 5.310924067119823633e+01
1.035981737750652201e+02 4.896666213929892564e+01 8.450253878676182495e+00
1.432830650943737680e+02 2.763557133721949555e+01 6.113500453675811031e+01
1.988470717665471170e+02 -1.916475636856353759e+01 1.438546685103595379e+01
1.788807187648160948e+02 3.629565926668244202e+01 3.385390520225138289e+01
7.183012701299142577e+01 2.944692378533726895e+01 5.626099793664211290e+01
7.612507161307888737e+01 2.311216129249556417e+01 5.296219311531825724e+01
1.940475819567609506e+02 -1.779692826297007358e+01 1.266511965050856503e+01
1.519873938402324995e+02 -6.506106549223386537e+01 -1.612306983662833204e+01
1.826178733404029515e+02 -2.233331194820210186e+01 -6.093843050416695917e+01
1.733933807409265455e+02 3.992755222543652849e+01 5.140983439306725700e+01
1.501924592220824763e+02 -5.660285036922505242e+01 -9.098794387922943372e+00
7.806531699017085657e+01 1.092246827655677954e+01 5.114977707601898516e+01
1.001104144936255693e+02 5.299509674065564013e+01 1.121268438329575901e+01
1.884710668458801877e+02 -1.647653155704300687e+01 -2.919921296429034996e+01
1.039261072535893504e+02 6.139229523767784258e+01 5.477403623406772226e+01
1.338723318742017341e+02 -7.434060334947041326e+01 -9.382920717694414492e+00
1.707607307646497929e+02 -3.220221770707393460e+00 1.022826239015196848e+01
1.127367255216420290e+02 5.494034123688846449e+01 3.971915034656105092e+01
1.817582345773637940e+02 -3.403803097571998393e+01 -4.725523045925418586e+01
1.648856176870620232e+02 6.118095545902089327e+01 1.958761014497251551e+01
1.130695031910285735e+02 5.782304889787422297e+01 4.861664514648236946e+01
1.685148003119454643e+02 4.182738064572816228e+01 9.792771083976163027e+00
1.421349055258268095e+02 6.341628321271237212e+01 5.461975676913530720e+01
1.197781046247730075e+02 7.934548565122778996e+01 2.842227973401698193e+01
1.711892669521998869e+02 3.168544276927070058e+01 5.134351412474487120e+01
1.429456603639590639e+02 4.605237558379980811e+01 3.971559157738083101e+00
1.755738337458975877e+02 1.044403026846415727e+01 6.442770916367212664e+00
1.706096511907155389e+02 -3.105232260931600763e-02 -1.057758132599921552e+01
1.628760428257018873e+02 -4.323310900985480743e+01 -4.898675664798957108e-02
1.505170551851466598e+02 -7.317667755036590904e+01 -3.116442378443817773e+00
1.279266451350355283e+02 9.943919801513882817e+01 -1.760389950271548187e+01
1.757064673534715382e+02 1.292924012520038524e+01 7.630145651421697650e+00
1.385283848823210064e+02 -6.933325364257518686e+01 -1.101734537962686389e+01
1.043433339234732102e+02 5.412797414930697215e+01 8.501448158146338585e+00
1.828133573688187425e+02 -2.610659337474168851e+01 -5.535954128692921472e+01
7.011996060612875681e+01 1.923526784950853141e+01 5.293167929299870877e+01
9.715229499699047722e+01 5.217825244584124533e+01 1.132828997334411625e+01
7.674959792831742789e+01 3.766352598909823968e+01 5.905664436183832322e+01
6.994247035976060545e+01 2.016167991727810715e+01 5.353867954079061064e+01
1.968221378408203464e+02 -1.216187315496022414e+01 1.504024092010828362e+01
1.757380140316873565e+02 2.942685104908587945e+01 3.495349448328568798e+01
9.255925519456505413e+01 1.578161525351678662e+01 6.578040255669964154e+01
1.554231313159281740e+02 1.929064459410868082e+01 5.295995789252451402e+01
1.477560469997955579e+02 2.596451369658178265e+01 2.701302941635621124e+00
1.270752666244522686e+02 9.664450874203537012e+01 -1.798718345232405014e+01
1.746563073098514849e+02 1.329013457867387160e+01 -3.028572921791720063e+01
1.380132291872604355e+02 2.764007016673149053e+01 5.776397396224778902e+01
1.466461718112267079e+02 -7.257635424446550587e+01 -1.541758700980732755e+00
7.545262358514386847e+01 1.844872586375071677e+01 5.061541057806107347e+01
1.530576327082413002e+02 1.192135865186099331e+01 4.081904120396801261e+01
1.521226787899648798e+02 1.395335384097031373e+01 4.225931571105844853e+01
1.765748030710228988e+02 -7.094521907061100308e+00 4.288428228593186731e+00
1.185883782049117912e+02 2.129300278761557763e+01 4.194893922025144661e+01
1.517043381868649021e+02 5.617420752570828313e+01 5.792563941860312582e+01
1.017063176104304318e+02 2.759352199564374430e+01 5.217116527409588400e+01
1.308865105478393502e+02 9.743997462199307336e+01 -1.863535272159619183e+01
7.236640240262690327e+01 1.284643867532058437e+01 5.006193225234714816e+01
9.667423575598922980e+01 2.391053029133842500e+01 5.215569536294623276e+01
1.413326025706152791e+02 -3.630387260499688296e+01 1.621816384146587708e+01
1.832625718255733318e+02 -2.435457815973645523e+01 -5.817854529223395588e+01
7.314830730330972131e+01 1.740246446703778460e+01 4.986513520706671443e+01
7.251266557339428687e+01 1.885536146930714807e+01 5.131387936366281366e+01
7.195871622663449330e+01 1.783345051826550076e+01 5.382050013795756627e+01
7.353216454443078476e+01 2.091283983737971752e+01 5.102916788102950818e+01
9.746429547112887803e+01 9.670840188872080745e+00 4.764510501834934075e+01
1.138497253795342914e+02 5.394292070639490078e+01 1.034890820226198827e+01
1.977112104251828271e+02 -1.369656578502802446e+01 1.183111412916078820e+01
7.312919321944039552e+01 2.279889605618590664e+01 5.242170844648592265e+01
1.395568723235887489e+02 -1.101519141663787593e+01 9.553187499533091653e+00
1.774922943031969567e+02 -2.468503855940539538e+01 -3.779455652841082980e+01
1.933028064270697541e+02 -1.596643294220318765e+01 1.427687091343306491e+01
7.200379326372011235e+01 2.244783829981220435e+01 5.442742929836109056e+01
7.329656116218033901e+01 2.454099427232926800e+01 5.436368379406452078e+01
1.467636188701007143e+02 -5.335547949500242026e+01 4.542994086321030522e-01
1.644654833149067201e+02 6.168669484246633061e+01 1.780315771610306186e+01
1.371716528162249062e+02 5.971666399856250962e+01 1.543812637837170954e+01
7.226312819899348483e+01 2.423462939767570390e+01 5.575811698438435116e+01
1.609894286623875814e+02 6.097001435295994476e-01 3.223469752554812828e+00
1.578460144850198503e+02 3.857941262634589918e+00 -1.863794739652455945e+01
9.985996259562126909e+01 4.864186317690546701e+01 1.012205639122803902e+01
7.161635264509538956e+01 2.641081415744992711e+01 5.741342513741687981e+01
1.141638811195998215e+02 2.549266331665788243e+01 5.246510174873240118e+01
1.796421940877405632e+02 1.557191348923691976e+01 -1.760657128413479455e+01
1.268451713391590800e+02 7.159988512469072930e+01 2.559808700244965252e+01
1.789384144346163339e+02 -1.783993250031875988e+01 -6.355285120609644878e+01
1.724109383919690117e+02 5.054328841937712724e+01 1.931391685695179916e+01
1.833452564637521789e+02 -3.438878752896262370e+01 -4.480023169599306243e+01
1.329407317281275027e+02 1.005832409665850662e+02 -1.299598281107786768e+01
1.729522798416074068e+02 5.942616384249784112e+00 -3.613008416489967090e+01
1.425921141974225748e+02 7.081568537751817871e+01 -5.720012942164287573e+00
1.619620376563532886e+02 2.029899764286723141e+00 -7.657349536916475685e+00
1.670593529278324070e+02 -9.457659246604683823e-01 4.213858768393709653e+00
1.419198977782196209e+02 9.617708313075681303e+01 -4.380276010955928001e-01
1.919475098586305819e+02 -3.657723599576223705e+01 -3.728027505303106892e+01
1.911282892202531798e+02 -2.780476600709929969e+01 -4.768687274704713985e+01
1.744940245158580296e+02 4.929349609379312369e+01 2.143000362036524109e+01
1.213249798636119294e+02 8.851673233394201645e+01 2.694160334295475678e+01
1.501688417720758935e+02 1.322727868457654132e+01 4.625124812643054639e+01
9.943223584885515720e+01 6.207230720170014138e+01 5.414060217487089943e+01
1.053623431827726762e+02 4.976954675404852679e+01 1.976421049183940681e+01
1.025855770760957455e+02 6.433666213095277442e+01 5.413981658198419211e+01
1.475021518991626692e+02 3.885622242835587770e+01 3.476808207889845459e+00
1.303230672087880748e+02 1.018558253200781962e+02 -3.958460970159446424e-01
9.782976242256761168e+01 5.311899292729643207e+01 1.026900169375247174e+01
1.730964464692313243e+02 -5.231062090990465485e+00 -4.248749313731059374e+01
1.498479411691828886e+02 5.156345273719369970e+01 2.779452988719691930e+00
1.898234823080906040e+02 -8.873482416804669981e+00 1.021849782923401406e+01
1.638417954954093148e+02 6.687147428265473081e+01 2.415385940985149915e+00
1.179052789221678097e+02 6.620134497029292220e+01 2.907775417393509798e+01
2.002986862878930765e+02 -1.797111225823618952e+01 1.021901773602559160e+01
7.509353598937639163e+01 2.826684458911589459e+01 5.682684141605756167e+01
1.816828333118480430e+02 -2.562287958771695529e+01 -3.420128793164391823e+01
9.920152737817399213e+01 5.189071715244964622e+01 1.261740157882890045e+01
1.795943457249040023e+02 1.947516006459361293e+00 -2.512782403216710492e+01
1.764983963309259707e+02 3.862586494398068737e+01 2.040178109860512023e+01
1.422767917517815022e+02 -3.872095460499608066e+01 1.489710972738427230e+01
1.830066529267336364e+02 -2.042040905648256199e+01 -6.244907632415974064e+01
1.714074356744697241e+02 -3.025207801265754526e+01 -5.331138323801027212e+01
1.444909008493452234e+02 -3.232415272947100249e+01 2.098579087938392007e+01
1.293310691796103242e+02 9.639283951523708538e+01 -3.145805311386551395e+00
1.742187884238992694e+02 3.736058692481600474e+01 5.398063317008058704e+01
1.434199089986749414e+02 6.493952531022499386e+01 5.234631107461189004e+01
1.758527573984534058e+02 2.829624795642586577e+01 2.388481726988651843e+01
1.744831256056490929e+02 1.565927689567015690e+01 -2.844700385523603359e+01
1.531017293547509723e+02 -6.349935661710781432e+01 -1.767201285761558793e+01
1.160131792413245506e+02 8.083171741777860575e+00 4.867844651771326880e+01
1.672763739109679193e+02 7.328598803790359995e+00 -3.955054344150600798e+01
1.935884198187912375e+02 -3.223527442549774946e+01 -4.241209801158338166e+01
1.696518837577750389e+02 -1.448984665469674127e+01 -2.705571207335540507e+01
1.294036207790490494e+02 5.755435824480528595e+01 2.050090272074998410e+01
1.749198080264128521e+02 -2.506654189993343707e+01 -4.537644728999624988e+01
1.726900151975804079e+02 3.577767564520344479e+01 5.149836710466807688e+01
1.487775232283311482e+02 -7.455545267283872590e+01 -3.688031937992438891e+00
1.688449633818813709e+02 3.209930109977155865e+01 5.438492300546371894e+01
1.619678047203412063e+02 1.719268511600140936e+00 -5.636993947807781069e+00
1.753961077512779241e+02 2.785816326860618375e+01 1.865553351180905040e+01
7.478604636497769320e+01 1.196934827901111831e+01 5.317984132586074963e+01
1.352760056671899349e+02 -2.692958705521937901e+01 9.482136994142809527e+00
1.354727294057814220e+02 2.968570460616979290e+01 1.049958449356147838e+01
1.753690311878917782e+02 -2.882342312417099706e+00 3.605634765806774666e+00
1.448799625017340418e+02 -5.212654263482906458e+01 4.019388315607376860e+00
7.516152212312354663e+01 1.024416857068236197e+01 5.236819803432488385e+01
1.200424672941739317e+02 6.772314822125802891e+01 2.409388933114279752e+01
