<<<<<<< HEAD
1.405346171040886247e+02 1.063647872120225202e+01 2.256789132769259609e+01
1.723869777852904690e+02 -2.742690693169057425e+01 -4.786984756609810887e+01
1.003268733423139452e+02 5.262218769385745532e+01 9.061523487376764052e+00
7.322695584066511287e+01 2.948384667351135136e+01 5.416884163710892608e+01
1.844958165661873863e+02 -4.866952403614808631e+00 7.568653837491201131e+00
1.028721832585833624e+02 6.205152474616872382e+01 4.639618412437349804e+01
1.750483800211612220e+02 6.163201012524627487e+00 6.554977104249188002e+00
1.766845421432989554e+02 5.202179080093291219e+01 3.289439952731427752e+01
1.220666864842142303e+02 7.886558682139225596e+01 2.804048253962726278e+01
6.850337461388542692e+01 1.434682264401491025e+01 4.721124534815452023e+01
1.777937927039137662e+02 -1.971863855663968934e+01 -5.669772271505352990e+01
1.757136658437165124e+02 -8.417637653440412038e+00 6.369426735420473662e+00
1.009434933455334686e+02 6.244597918494790179e+01 5.075392132404756040e+01
6.694538947691586372e+01 2.558099194845332036e+01 4.653998393106843423e+01
1.152859268660825904e+02 7.402330511374952948e+01 2.578161867576653776e+01
6.738502906435425643e+01 2.468223908707567915e+01 4.585101726229102326e+01
1.230172189270501235e+02 1.028661147756183567e+02 -3.459775626724290731e+00
1.672611474532966440e+02 -5.208586296866283050e+00 1.850434133306287521e+01
1.215423280983912946e+02 3.411352023804685984e+01 4.565521417588434616e+01
1.963783582508295069e+02 -1.887664981922059582e+01 1.369678959890016046e+01
1.172194412830048833e+02 4.179888081431043645e+01 1.464572054870383866e+01
6.677394118630458308e+01 2.369184929974466769e+01 4.665950821089662526e+01
1.168258895778209876e+02 8.203854630115129964e+01 2.942658966302372647e+01
1.015167222599190495e+02 5.216067196380492277e+01 1.479295446990273888e+01
1.650570596293952974e+02 4.144212104752593717e+01 6.145338393813411670e+01
1.354015869044881697e+02 2.570369195341064739e+01 5.585407946650363442e+01
1.049931156337565028e+02 5.137320708726255702e+01 6.975291969062137554e+00
1.379872441159859022e+02 7.768991237818086404e+01 -1.254750374251305445e+01
6.810896665335043565e+01 2.448191454306395443e+01 4.936335699558576096e+01
1.915351407805088400e+02 -3.611536423795675432e+01 -4.146540291816747725e+01
1.479002804651645135e+02 -6.279956344432087434e+01 -4.209203333353206844e+00
1.763557052386742896e+02 2.910225340659439297e+01 3.828769669128339359e+01
7.422195436024500736e+01 2.393114137795869212e+01 5.805936161540855522e+01
1.665034173224777305e+02 5.980245034224653011e+01 2.109524054166629981e+01
7.293371893665178618e+01 2.783969945325616635e+01 5.302812704514155939e+01
9.554569709098301189e+01 2.853957470677601194e+01 5.627770256801319704e+01
6.912789788379294009e+01 3.091927014169642973e+01 5.152039387932295966e+01
1.436203419461195949e+02 3.923036804734906724e+01 6.232624818064836347e+01
1.345758059445463175e+02 9.736263463131166418e+01 2.395272067610690669e+00
1.087102851000887824e+02 4.379454045591467093e+01 2.307143257588096930e+01
1.361279122121389946e+02 8.184154066934053162e+01 -1.314985902965354292e+01
1.768035786515095253e+02 -2.025507269601917315e+01 -5.975366253189893939e+01
1.216520548718752650e+02 1.019225006926775450e+02 -2.501553863157479185e+00
8.744509119708787637e+01 2.780383076448987367e+01 5.963911154191740138e+01
1.655480363917425848e+02 -3.931171069597887424e+00 9.696515684230959664e+00
7.373449772412703851e+01 2.591133133767288399e+01 5.913834742715575032e+01
1.696777756064838627e+02 -2.785712931646804336e+00 1.739857254461450964e+01
1.519770537221341158e+02 -3.289119861426699742e+01 -3.897182129160490227e+00
1.796487653106141806e+02 1.764762479178042653e+01 -1.076081757925237703e+01
1.756853243883874427e+02 2.839965873629502724e+01 3.268039395077691012e+01
1.988618671471779464e+02 -1.602043385678350873e+01 1.422399150827121161e+01
1.252447368167923969e+02 5.876852156639139224e+01 1.659559909215438722e+01
1.681430048676724311e+02 1.144505249945726888e+01 3.369024568677996712e+01
1.622161249475863940e+02 -6.557774303058694443e+01 -1.186838227681375457e+01
6.810381740426802821e+01 2.121486242715931070e+01 4.983203686967871704e+01
6.827316160002388301e+01 2.420727601680251340e+01 4.650421014363345762e+01
1.683906673157433431e+02 2.848841394283963879e+01 5.620357695794734099e+01
1.139557960083052421e+02 6.539226228591196843e+01 4.479274122653441736e+01
7.028045442813626664e+01 2.658221744981114654e+01 5.558990289113094008e+01
1.348263394179800514e+02 3.055378072528960587e+01 5.797396081658227729e+01
1.368069023737809573e+02 7.966349653674821241e+01 -1.454252553924691149e+01
1.559249844076393288e+02 -6.365763571855637792e+01 -1.684836637206036158e+01
